tournament_id,match_id,game_id
2500,508829,229069
2500,508828,223688
2500,508829,223693
2500,508828,223689
2500,508830,223694
2500,508830,223695
2500,508831,223697
2500,508828,223690
2500,508832,229399
2500,508832,223701
2500,508831,223698
2500,508831,223699
2500,508833,223703
2500,508833,223704
2500,508834,223706
2500,508834,223707
2500,508836,223712
2500,508835,223710
2500,508835,223709
2500,508836,223713
2500,508837,223715
2500,508837,223716
2500,508838,223719
2500,508838,223718
2500,508839,223722
2500,508840,223724
2500,508839,223721
2500,508840,223725
2500,508841,223727
2500,508842,223730
2500,508842,223731
2500,508841,223728
2500,508843,223733
2500,508843,223735
2500,508845,223739
2500,508843,223734
2500,508845,223740
2500,508844,223736
2500,530354,231305
2500,530354,231306
2500,508844,223737
2500,530355,231309
2500,508844,223738
2500,530355,231308
2500,530355,231310
2500,530357,231314
2500,530356,231312
2500,530356,231311
2500,530356,231313
2500,530357,231315
2500,530358,231317
2500,530360,231894
2500,530359,231320
2500,530359,231321
2500,530358,231318
2500,530360,231324
2500,530359,231322
2500,530361,231327
2500,530361,231326
2500,530362,231329
2500,530362,231330
2500,530363,232077
2500,530363,231334
2500,530363,231333
2500,530364,231335
2500,530365,233353
2500,530364,231337
2500,530364,231338
2500,530364,231336
2499,506930,223139
2499,506930,223138
2500,530365,231341
2500,530365,231342
2499,506931,223141
2499,506931,223142
2500,530364,231339
2499,506932,223144
2500,530365,231343
2499,506933,223147
2499,506932,223145
2499,506932,223146
2499,506933,223148
2499,506934,223150
2282,490307,217250
2282,490307,217252
2282,490307,217251
2282,490308,217253
2282,490309,217256
2282,490306,217247
2282,490308,217254
2282,490306,217248
2282,490313,217268
2282,490309,217257
2282,490310,217260
2282,490310,217259
2282,490312,217265
2282,490311,217262
2282,490312,217266
2282,490311,217264
2282,490311,217263
2282,490315,217275
2282,490315,221383
2282,490313,217269
2282,498622,221151
2282,498622,221150
2282,490314,217272
2282,490314,217271
2282,490314,217273
2282,498621,221148
2282,498623,221153
2282,498629,221173
2282,498621,221147
2282,498629,221174
2282,498623,221154
2282,498630,221176
2282,498630,221177
2282,498630,221178
2282,498624,221157
2282,498624,221158
2282,498624,221156
2282,498626,221163
2282,498626,221162
2282,498625,221159
2282,498631,221179
2282,498625,221160
2282,498631,221180
2282,498631,221181
2282,498632,221182
2282,498627,221165
2282,498632,221184
2282,498633,221186
2282,498633,221185
2282,498627,221166
2282,498634,221188
2282,498634,221189
2282,498634,221191
2282,498634,221190
2282,498632,221183
2380,459827,207152
2380,459826,207147
2380,459827,207151
2282,498628,221171
2282,498628,221169
2282,498628,221168
2282,498628,221170
2380,459826,207148
2380,459827,207150
2380,459829,207156
2380,459828,207153
2380,459828,207155
2380,459828,207154
2380,459829,207157
2380,459832,207165
2380,459830,207159
2380,459830,207160
2380,459831,207163
2380,459831,207164
2380,459831,207162
2380,459832,207166
2380,459832,207167
2380,459833,207169
2380,459833,207168
2380,459833,207170
2380,459834,207171
2380,459834,207172
2380,459834,207173
2380,459835,207174
2380,459835,207175
2380,459835,207176
2380,459837,207180
2380,459837,207181
2380,459836,207178
2380,459839,207183
2380,459836,207179
2380,459839,207184
2380,459840,207186
2380,459840,207187
2380,459836,207177
2380,459841,207189
2380,459840,207188
2380,459841,207190
2380,459842,207192
2380,459842,207193
2380,459843,207196
2380,459844,207199
2380,459843,207195
2380,459844,207198
2380,459845,207201
2380,459846,212701
2380,459847,207208
2380,459845,207202
2380,459847,207207
2380,459846,212700
2380,459850,207217
2380,459848,207212
2380,459850,207216
2380,459848,207210
2380,459849,207214
2380,459849,212913
2380,459848,207211
2380,459849,207215
2380,459853,207222
2380,459853,207223
2380,459854,207227
2380,459854,207225
2380,459855,207228
2380,459854,207226
2380,459852,207219
2380,459855,207229
2380,482503,215380
2380,459852,207220
2380,482503,215379
2380,482504,216517
2380,459856,214836
2380,459857,207235
2380,459856,207232
2380,482504,215383
2380,459857,215378
2380,459856,207233
2380,482505,215385
2380,482505,215386
2380,482505,216537
2380,482507,215392
2380,482507,216644
2380,482506,216584
2380,482506,215389
2380,482508,215394
2380,482508,215395
2380,482508,215396
2380,482510,216646
2380,482509,215397
2380,482510,216645
2380,482510,215402
2380,482509,215398
2380,482509,215399
2380,482515,215416
2380,482515,217080
2380,482511,215403
2380,482511,215404
2380,482511,215405
2380,482512,215408
2380,482512,215406
2380,482512,215407
2379,458806,206155
2379,458805,206150
2379,458806,206153
2379,458806,206154
2379,458805,206151
2380,482513,215412
2380,482513,215411
2379,458807,206156
2379,458807,206158
2380,482513,215413
2379,458808,206160
2379,458808,206159
2379,458807,206157
2379,458808,206161
2379,458809,206162
2379,458810,206165
2379,458809,206163
2379,458810,206166
