tournament_id,team_id
542,1453
542,397
542,1675
542,2903
543,682
543,5032
543,108
543,6267
543,1341
543,1342
543,10094
543,604
403,1696
403,1208
403,4468
403,1323
403,591
403,4036
403,1352
403,3279
403,865
403,4420
403,831
403,4073
403,2826
353,2
353,2593
353,2328
353,474
353,420
353,2815
353,2355
353,2112
353,3512
353,277
477,1466
477,1471
477,1594
477,3382
477,4574
477,4577
477,4575
477,4332
477,1464
477,3527
477,4453
477,3550
477,4569
477,3554
477,4452
477,4570
398,2355
398,363
398,4094
398,367
398,724
398,4353
398,3322
398,3942
366,420
366,3512
366,2406
366,581
366,1916
366,243
366,203
366,2428
372,2
372,2815
372,188
372,427
372,120
372,1034
372,533
372,856
376,474
376,2593
376,682
376,921
376,628
376,1209
376,1184
376,397
429,2112
429,4050
429,624
429,1915
429,6389
429,2746
429,904
429,466
429,4325
429,4324
426,2328
426,2542
426,198
426,3945
426,2806
426,1970
426,1670
426,1140
426,2559
426,2561
426,3311
426,4030
426,2556
426,1327
426,4025
426,2554
441,277
441,279
441,104
441,516
441,2988
441,282
441,2934
441,280
423,1592
423,1591
423,3635
423,3382
423,1742
423,4333
423,4332
423,1596
423,1470
423,1466
423,1469
423,4334
423,4337
423,4338
423,4336
423,6993
423,1910
423,1464
423,4339
423,4340
423,4342
423,4343
423,3621
423,4341
365,2428
365,1916
365,203
365,581
365,4049
365,417
365,695
365,4394
365,7013
365,1830
365,4321
365,1911
371,2
371,188
371,1034
371,856
371,103
371,106
371,14
371,473
371,17
371,3597
371,337
371,642
397,3322
397,4094
397,4358
397,3125
397,3129
397,2363
397,1991
397,2362
397,4361
397,1993
397,4359
397,4006
397,4353
397,3942
397,2354
397,361
397,1249
397,2360
397,2596
397,4356
397,4355
397,4352
397,2359
421,466
421,2814
421,3652
421,1110
421,2029
421,1700
421,3141
421,4059
422,4050
422,623
422,622
422,2270
422,4153
422,3689
422,4155
422,1485
395,4325
395,4324
395,4327
395,4326
395,4329
395,4331
395,4323
395,388
395,4330
395,4322
395,2151
395,4328
432,2746
432,1932
432,3692
432,4251
432,3349
432,2952
432,3717
432,4397
452,904
452,3546
452,3107
452,3179
452,3490
452,2303
452,3184
452,4273
440,104
440,516
440,2934
440,280
440,2987
440,4009
440,2996
440,1734
399,624
399,617
399,2532
399,879
399,3348
399,1919
399,3524
399,1942
364,243
364,2406
364,420
364,3512
364,581
364,2428
364,3664
364,1916
364,4044
364,4045
364,3560
364,1830
375,2593
375,474
375,3908
375,2059
375,257
375,3531
375,3
375,3604
375,439
392,397
392,935
392,1913
392,1453
392,3474
392,2416
392,3259
392,5310
420,1915
420,2814
420,1110
420,466
420,3141
420,3652
420,4059
420,1700
420,2029
433,904
433,3546
433,2303
433,3179
433,4273
433,3490
433,3184
433,3107
431,6389
431,2747
431,1932
431,4251
431,3717
431,2952
431,2746
431,3692
431,3349
383,3348
383,2532
383,879
383,3524
383,627
383,2505
383,624
383,617
383,1942
383,1919
370,120
370,533
370,427
370,2815
370,188
370,103
370,473
370,856
396,363
396,724
396,3125
396,2363
396,3129
396,3322
396,3127
396,1831
396,2355
396,367
396,2360
396,644
396,2596
396,361
396,721
396,3942
377,2988
377,279
377,282
377,277
377,280
377,2987
377,2996
377,4009
374,628
374,1209
374,439
374,3
374,2059
374,1001
374,2533
374,3531
374,3541
374,2304
374,3082
374,474
374,3303
374,324
374,2593
374,2373
387,108
387,1020
387,10094
387,1341
387,2049
387,604
387,6267
387,682
388,1184
388,921
388,397
388,3261
388,3725
388,5310
388,1453
388,935
385,1932
385,6389
385,2747
385,2746
385,1926
385,3692
385,1929
385,3717
384,904
384,3546
384,2303
384,3107
384,3179
384,3490
384,3700
384,6397
386,2112
386,623
386,4050
386,1481
386,3691
386,2270
386,3689
386,1485
379,466
379,1110
379,1915
379,3652
379,2031
379,2814
379,2568
379,1700
373,1919
373,624
373,1942
373,617
373,627
373,3348
373,1951
373,1921
373,3615
373,1946
391,682
391,6267
391,1020
391,108
391,10094
391,604
391,1341
391,3808
391,3997
391,3952
391,2118
391,488
363,420
363,2406
363,2428
363,3512
363,243
363,1830
363,2343
363,3222
340,4094
340,724
340,3322
340,363
340,1991
340,3129
340,3125
340,777
340,719
340,644
340,361
340,2355
340,2358
340,367
340,3942
340,2354
338,420
338,243
338,203
338,2406
338,3512
338,1830
338,1911
338,2428
333,2
333,337
333,17
333,427
333,642
333,120
333,103
333,533
334,3531
334,1001
334,628
334,1209
334,3908
334,3
334,2533
334,2566
342,1184
342,397
342,1913
342,921
342,2416
342,6132
342,1453
342,1675
344,682
344,108
344,1020
344,10094
344,6267
344,1341
344,2049
344,488
351,198
351,2328
351,2933
351,2542
351,1970
351,2806
351,2548
351,1670
347,2112
347,617
347,3546
347,466
347,4050
347,6389
347,3717
347,1915
352,277
352,279
352,104
352,516
352,280
352,1734
352,2108
352,2934
297,1208
297,591
297,3279
297,1319
297,1696
297,1352
297,2826
297,435
297,865
297,2286
297,27
297,2900
348,3106
348,6397
348,3184
348,3112
348,3490
348,3107
349,2112
349,4210
349,623
349,4050
349,3164
349,2270
349,989
349,1106
296,466
296,1110
296,2032
296,2814
296,3132
296,2569
296,1700
296,1698
294,617
294,3524
294,3348
294,624
294,1942
294,1919
294,2532
294,3505
294,3353
294,2821
294,2921
294,3355
324,337
324,120
324,642
324,17
324,1034
324,106
324,14
324,3187
324,631
324,188
324,382
324,2815
326,1911
326,3512
326,203
326,2428
326,889
326,2343
326,3222
326,7309
326,2440
339,2416
339,1913
339,1184
339,1675
339,6132
339,935
339,3261
339,2036
328,1209
328,1982
328,2566
328,2577
328,2965
328,2593
328,257
328,324
328,2819
328,2304
328,2562
328,2373
343,488
343,10094
343,108
343,1341
343,3371
343,3250
343,2118
343,1266
350,1934
350,2957
350,3136
350,3504
350,1926
350,2747
350,2749
350,1932
350,2956
336,2548
336,2542
336,1970
336,1670
336,1140
336,1025
336,2554
336,3314
336,3311
336,2765
336,2549
336,3315
345,104
345,2934
345,280
345,2108
345,1732
345,283
345,282
345,3275
323,1991
323,777
323,3129
323,3125
323,2606
323,2363
323,374
323,2602
323,2358
323,367
323,676
323,2354
323,2359
323,645
323,2431
323,1988
327,2909
327,397
327,1453
327,921
327,6132
327,1184
327,1913
327,2416
327,1675
327,3265
327,1238
327,2908
330,6267
330,682
330,1020
330,2049
330,1341
330,108
330,10094
330,488
330,2317
330,2398
330,2891
330,2835
325,3179
325,3106
325,904
325,6397
325,3112
325,3182
325,3184
325,3107
295,1915
295,466
295,1700
295,1110
295,2569
295,3155
295,2030
295,2814
331,279
331,277
331,1734
331,516
331,3275
331,104
331,1732
331,2108
293,2150
293,958
293,1919
293,624
293,617
293,2505
293,2509
293,2532
293,2921
293,1978
293,1942
293,879
318,1481
318,2112
318,4050
318,623
318,1106
318,2742
318,1485
318,2270
306,427
306,2
306,103
306,533
306,642
306,120
306,17
306,337
306,468
306,106
306,473
306,856
302,1831
302,724
302,363
302,2365
302,374
302,2363
302,777
