tournament_id,match_id,game_id,team1_id,team2_id,pistol1,pistol2,eco1_win,eco1_lose,eco2_win,eco2_lose,semi_eco1_win,semi_eco1_lose,semi_eco2_win,semi_eco2_lose,semi_buy1_win,semi_buy1_lose,semi_buy2_win,semi_buy2_lose,full_buy1_win,full_buy1_lose,full_buy2_win,full_buy2_lose
2005,314359,163297,17,918,2,0,2,0,0,4,0,1,0,0,3,4,2,6,8,1,4,3
2005,314360,163299,8185,278,1,1,1,2,1,2,0,1,1,0,3,0,2,2,9,4,3,9
2005,314360,178343,8185,278,2,0,2,0,0,3,0,0,0,2,3,0,0,4,8,2,2,4
2005,314361,163303,5448,8304,1,1,1,2,1,2,0,2,0,0,2,4,4,0,5,5,8,6
2005,314361,163302,5448,8304,1,1,1,2,1,2,0,1,0,1,3,0,3,4,9,3,2,6
2005,314361,163304,5448,8304,1,1,1,1,1,4,1,0,0,0,5,0,2,3,6,7,5,6
2005,314362,163306,17,6199,2,0,2,0,0,4,0,0,0,1,3,3,2,2,8,4,5,6
2005,314363,163309,624,5448,1,1,1,2,1,2,0,1,0,3,2,2,2,3,10,3,5,5
2005,314363,163308,624,5448,0,2,1,2,2,1,0,1,0,2,1,4,3,2,7,6,8,4
2005,314362,163305,17,6199,2,0,2,0,1,3,0,2,0,1,2,7,1,0,2,4,11,2
2005,314363,163310,624,5448,1,1,1,2,1,2,0,0,1,0,2,0,1,5,10,2,1,6
2005,314364,163313,14,6387,2,0,2,0,0,6,0,1,1,0,4,3,2,1,7,4,5,6
2005,365318,176175,624,17,0,2,0,4,2,0,1,0,0,0,1,5,4,2,8,4,7,8
2005,314364,163312,14,6387,2,0,2,0,1,2,0,2,1,1,3,5,2,0,4,6,9,6
2005,314364,163311,14,6387,1,1,1,2,1,2,1,0,1,1,2,2,3,3,9,7,6,7
2005,314362,163307,17,6199,1,1,1,2,1,2,0,1,0,1,4,2,3,2,7,9,10,7
2005,365316,176169,17,878,1,1,1,2,1,2,0,0,0,1,1,1,3,8,11,5,4,2
2005,365318,176176,624,17,1,1,1,2,2,1,0,1,0,0,2,5,3,0,2,5,8,4
2005,365316,176170,17,878,1,1,2,1,1,3,0,0,0,2,5,2,5,4,6,8,5,4
2005,365319,176178,8185,8304,1,1,2,1,1,2,0,2,0,1,2,0,3,5,9,5,4,5
2005,365317,176172,6199,8304,0,2,0,4,2,0,0,0,0,1,2,1,5,4,9,8,6,6
2005,365317,176173,6199,8304,0,2,0,4,2,0,1,1,0,0,3,2,6,4,7,6,5,7
2005,365319,176179,8185,8304,2,0,2,0,0,4,0,0,0,1,4,0,4,1,7,4,0,7
2005,365320,176182,17,8185,0,2,0,4,2,0,1,0,0,0,1,4,4,3,8,5,7,7
2005,365320,176183,17,8185,1,1,1,2,1,2,0,0,0,0,3,0,1,5,9,4,4,6
2005,365320,176181,17,8185,2,0,2,0,0,4,0,1,0,2,3,4,1,1,8,4,8,6
2005,365322,176190,624,8304,2,0,2,0,0,4,0,0,0,1,4,0,1,2,7,3,2,6
2005,365322,176189,624,8304,2,0,2,0,0,4,0,0,0,2,3,1,1,2,8,2,2,5
2005,365323,176192,8185,624,0,2,0,4,2,0,0,1,0,0,0,2,3,1,7,6,8,6
2005,365323,176193,8185,624,1,1,1,2,1,1,0,0,0,1,3,5,2,4,6,6,10,4
2005,365323,176194,8185,624,1,1,1,2,1,2,0,0,0,0,1,2,4,3,11,6,5,8
2005,365323,176196,8185,624,2,0,2,0,0,2,1,0,0,3,4,1,3,3,6,6,4,5
2094,353153,173346,1184,7035,0,2,0,4,2,0,0,0,0,1,0,0,3,7,13,3,2,5
2005,365323,176195,8185,624,2,0,2,0,0,4,1,2,0,0,2,2,2,6,8,6,8,3
2005,365321,176186,17,8185,2,0,2,0,0,4,0,1,1,1,6,4,1,1,6,7,10,8
2005,365321,176185,17,8185,0,2,1,3,2,0,0,0,2,3,3,2,3,4,14,11,9,11
2005,365321,176187,17,8185,1,1,1,2,1,2,1,0,0,1,2,1,1,3,9,3,4,7
2094,353153,173347,1184,7035,0,2,0,4,2,0,1,1,0,1,1,1,5,2,5,7,6,4
2005,365321,176184,17,8185,1,1,1,2,1,3,0,1,0,0,2,4,1,0,3,6,11,3
2094,353153,173348,1184,7035,1,1,1,2,1,2,0,1,1,1,1,0,1,3,11,3,3,7
2094,353154,173349,397,2593,0,2,1,3,2,0,0,1,1,1,2,3,2,3,6,6,8,5
2094,353154,173350,397,2593,2,0,2,0,0,4,0,1,0,1,5,3,2,0,6,7,9,8
2094,353154,173351,397,2593,1,1,1,2,1,2,1,1,0,0,1,4,4,6,8,6,8,3
2094,353155,173352,1001,4915,1,1,2,1,1,2,0,0,0,1,3,0,1,6,8,2,1,4
2094,353155,173353,1001,4915,0,2,1,2,2,0,1,0,0,2,1,0,1,7,10,3,2,4
2094,353157,173358,14419,12694,0,2,0,4,2,0,0,2,0,0,1,4,2,0,0,3,9,1
2094,353157,173360,14419,12694,0,2,0,4,2,0,0,0,0,1,3,1,4,5,10,6,5,7
2094,353157,173359,14419,12694,1,1,1,2,1,2,0,0,0,2,6,2,4,2,6,7,6,7
2094,353156,173355,2059,474,0,2,0,4,2,1,0,1,0,0,1,0,7,4,12,5,1,8
2094,353156,173356,2059,474,1,1,1,2,2,1,0,1,0,1,4,5,1,4,12,7,12,11
2094,353159,173365,397,8877,1,1,1,2,1,2,0,0,2,0,3,7,1,0,1,4,9,3
2094,353159,173364,397,8877,0,2,0,3,2,0,1,2,1,1,1,2,3,0,4,6,7,5
2094,353158,173361,4915,1184,2,0,2,0,0,5,0,2,0,0,5,3,2,3,4,8,11,3
2094,353158,173362,4915,1184,0,2,0,3,2,0,0,2,1,0,2,4,5,2,3,4,5,3
2094,353202,173490,7035,14419,1,1,1,2,1,2,0,0,0,2,2,0,4,9,10,3,0,0
2094,353161,173371,1001,1184,1,1,2,1,1,3,0,0,0,2,2,2,2,2,9,3,3,6
2094,353161,173370,1001,1184,1,1,2,1,1,4,0,2,0,0,1,2,1,2,10,5,8,7
2094,353202,173491,7035,14419,2,0,2,0,0,4,0,1,0,0,4,3,9,5,8,8,3,5
2094,353160,173367,2593,2059,1,1,2,1,1,2,0,0,0,1,3,0,3,5,8,5,2,5
2094,353160,173368,2593,2059,1,1,1,2,1,1,0,2,1,0,2,5,2,1,3,4,9,4
2094,353162,173373,397,474,1,1,1,2,1,2,0,1,0,3,1,0,2,5,11,3,3,3
2094,353160,173369,2593,2059,1,1,2,1,1,2,0,0,0,2,1,0,4,6,10,6,2,3
2094,353162,173374,397,474,2,0,2,0,0,4,0,2,0,2,2,1,1,3,9,2,4,4
2094,353165,173382,2593,8877,1,1,1,2,1,2,0,0,1,1,1,0,1,4,11,1,0,6
2094,353166,173386,1001,14419,1,1,1,2,2,1,0,2,0,3,5,6,2,3,7,5,11,6
2094,353163,173377,4915,14419,1,1,1,2,1,2,1,2,0,1,2,4,5,2,4,5,7,3
2094,353164,173380,7035,12694,1,1,1,3,2,1,0,1,1,0,2,1,2,5,8,8,8,5
2094,353163,173376,4915,14419,0,2,1,3,2,0,1,1,0,1,4,1,3,2,3,8,8,6
2094,353164,173379,7035,12694,2,0,2,0,1,3,0,2,0,0,4,6,4,1,5,5,8,7
2094,353165,173383,2593,8877,1,1,1,2,1,2,0,0,0,2,2,3,2,2,10,3,5,7
2094,353167,173389,1184,12694,1,1,1,2,1,2,0,0,0,1,2,0,2,8,10,2,1,2
2094,353166,173385,1001,14419,2,0,2,0,0,4,0,0,0,1,6,2,3,1,5,7,6,7
2094,353168,173391,7035,4915,2,0,2,1,1,3,0,2,0,2,3,2,0,1,8,5,9,7
2094,353167,173388,1184,12694,0,2,0,4,2,0,0,0,0,2,1,0,5,6,12,4,1,5
2094,353166,173387,1001,14419,1,1,1,2,1,2,0,1,0,1,1,2,4,6,11,4,4,4
2094,353168,173392,7035,4915,2,0,2,0,0,4,0,1,0,0,3,1,2,5,8,4,4,4
2094,353169,173394,474,8877,0,2,1,3,2,0,1,1,0,4,0,0,3,3,11,7,6,6
2094,353169,173395,474,8877,2,0,2,0,0,3,0,0,0,2,4,0,1,4,7,2,1,4
2094,353170,173397,397,2059,0,2,0,4,2,0,0,0,0,0,2,4,4,2,5,5,7,5
2094,353171,173400,1001,12694,2,0,2,0,0,4,0,1,1,0,2,1,4,1,9,5,2,8
2094,353172,173404,1184,14419,1,1,1,2,1,2,0,0,0,0,3,0,4,7,9,4,1,4
2094,353172,173403,1184,14419,1,1,1,2,1,2,0,0,0,0,3,0,3,5,9,2,0,6
2094,353170,173398,397,2059,1,1,1,2,1,2,1,0,1,0,5,2,1,6,6,2,3,5
2094,353171,173401,1001,12694,1,1,1,2,1,2,0,0,0,0,3,3,7,5,6,8,5,3
2094,353170,173399,397,2059,2,0,2,0,1,3,0,2,0,1,2,5,1,3,7,6,11,4
2094,353171,173402,1001,12694,2,0,2,0,0,4,0,0,0,0,3,0,2,6,8,5,3,3
2094,353173,173406,1001,7035,0,2,0,5,2,0,0,1,0,1,3,4,5,1,8,3,6,9
2094,353173,173407,1001,7035,1,1,1,2,1,2,0,0,1,2,3,0,3,2,9,7,4,7
2094,353203,173493,2059,8877,2,0,2,0,0,4,0,1,0,0,2,2,1,4,9,1,3,5
2094,353174,173409,2593,474,1,1,1,2,1,1,0,0,0,3,1,0,1,4,11,0,0,5
2094,353174,173410,2593,474,1,1,1,2,1,2,0,1,1,1,3,0,3,3,9,6,4,7
2094,353175,173412,4915,12694,1,1,1,2,1,2,0,2,0,1,4,0,1,4,8,3,5,6
2094,353175,173413,4915,12694,1,1,1,2,1,2,0,0,1,0,5,3,6,2,2,8,5,4
2094,353173,173408,1001,7035,0,2,1,3,2,1,1,1,0,1,0,1,4,4,11,5,4,7
2094,353203,173494,2059,8877,2,0,2,0,0,4,0,1,0,0,3,6,1,2,4,6,12,3
2094,353203,173495,2059,8877,1,1,1,2,1,2,0,0,0,2,6,5,1,2,7,5,10,8
2094,353175,173414,4915,12694,0,2,0,4,2,0,0,1,0,1,4,1,6,5,9,5,3,7
2094,371278,178847,2059,4915,2,0,2,0,1,3,1,1,0,1,1,4,0,2,4,8,12,2
2094,371278,178849,2059,4915,1,1,1,2,1,2,0,2,0,2,4,1,2,2,8,2,4,7
2094,371278,178848,2059,4915,1,1,1,2,1,2,0,0,0,0,2,0,2,5,10,3,2,6
2094,371279,178851,2593,8877,1,1,1,2,1,2,0,0,1,2,4,2,3,3,10,9,8,8
2094,371279,178850,2593,8877,1,1,1,2,1,2,0,0,0,1,3,4,2,0,3,7,10,4
2094,371280,178853,1001,2059,1,1,1,2,1,1,0,1,1,1,1,2,5,4,12,7,5,8
2094,371279,178852,2593,8877,2,0,2,0,0,4,1,1,1,1,5,1,1,4,5,4,4,4
2094,371280,178854,1001,2059,1,1,1,2,1,2,0,2,1,0,4,2,4,2,5,7,7,6
2094,371281,178856,1184,2593,1,1,1,2,1,2,0,0,1,1,2,1,6,2,10,12,7,8
2094,371281,178857,1184,2593,1,1,1,2,2,1,0,2,0,0,1,4,2,0,3,5,9,4
2094,371280,178855,1001,2059,0,2,0,4,2,0,0,1,1,0,1,1,5,5,11,8,6,7
2094,371282,178859,2059,2593,2,0,2,0,0,4,0,0,0,1,7,7,2,1,2,6,11,5
2094,371284,178867,1001,1184,1,1,1,2,1,2,0,0,0,2,2,2,1,4,10,6,8,5
2094,371282,178860,2059,2593,2,0,2,0,1,3,0,1,0,0,3,9,0,0,1,3,12,3
2094,371284,178868,1001,1184,1,1,1,2,1,2,1,0,1,0,4,2,2,2,7,7,7,9
2094,371285,178871,2059,1001,2,0,2,0,0,4,0,0,0,2,5,2,1,1,6,2,3,6
2094,371285,178872,2059,1001,2,0,2,0,0,4,0,0,0,3,4,1,1,2,7,2,2,4
2094,371285,178870,2059,1001,1,1,1,1,1,2,0,3,0,0,2,4,3,1,3,5,9,3
2094,371285,178873,2059,1001,1,1,1,2,1,2,0,0,1,2,2,0,1,2,10,7,6,7
2094,371283,178864,2593,2059,2,0,2,0,0,4,0,2,0,0,7,4,4,4,4,3,5,5
2094,371283,178863,2593,2059,1,1,1,2,1,2,1,1,0,0,2,4,4,3,5,6,8,4
2094,371283,178865,2593,2059,2,0,2,0,0,3,0,0,0,0,2,0,2,7,9,3,1,3
2094,371283,178862,2593,2059,1,1,1,2,1,2,0,1,0,2,2,1,3,3,10,4,4,6
2004,314623,163354,1034,6961,2,0,2,1,0,4,1,1,1,0,5,2,0,2,5,6,9,7
2004,314622,163351,188,2359,1,1,1,2,1,2,1,1,0,1,2,3,1,0,3,7,11,4
2004,314622,163352,188,2359,1,1,1,2,1,2,0,1,0,1,1,1,1,4,11,3,5,6
2004,314624,163357,11058,5248,2,0,2,0,0,4,1,0,1,2,3,5,1,2,7,3,6,5
2004,314624,163358,11058,5248,2,0,2,0,0,3,0,0,0,2,2,1,1,5,9,2,2,3
2004,314623,163355,1034,6961,2,0,2,0,0,3,0,0,0,1,4,0,2,4,7,2,0,5
2004,314622,163353,188,2359,0,2,1,3,2,1,0,1,0,2,3,2,2,2,14,10,12,13
2004,314625,163360,2,120,2,0,2,0,0,4,0,1,1,1,6,5,0,0,5,4,9,8
2004,314626,163364,2355,2406,1,1,1,2,2,1,1,0,0,2,1,4,7,2,8,7,4,6
2004,314626,163363,2355,2406,1,1,1,2,1,2,0,1,0,2,3,0,3,4,9,4,3,5
2004,314628,163366,11058,120,1,1,1,2,1,2,0,2,0,1,3,3,2,1,5,6,10,5
2004,314628,163367,11058,120,2,0,2,0,0,4,0,2,0,0,4,7,1,2,2,4,12,2
2004,314626,163365,2355,2406,0,2,0,4,2,0,0,1,0,2,0,0,4,7,13,2,1,4
2004,314630,163372,2355,7386,2,0,2,0,0,4,0,0,0,1,3,1,3,2,8,5,3,6
2004,314630,163373,2355,7386,1,1,1,2,1,2,1,0,0,0,2,2,2,4,9,4,5,7
2004,314631,163376,1034,2406,0,2,0,4,2,0,0,1,0,1,2,0,4,7,11,3,2,5
2004,314625,163361,2,120,1,1,1,2,1,2,0,0,0,3,3,1,1,3,9,3,4,5
2004,314629,163369,2,2359,1,1,1,2,1,2,0,2,0,2,6,4,3,1,10,11,15,12
2004,314632,163378,188,5248,1,1,1,1,1,2,1,1,0,0,3,6,3,2,4,5,9,5
2004,314631,163375,1034,2406,1,1,1,2,1,1,0,0,0,1,1,0,1,7,11,0,0,4
2004,314632,163380,188,5248,2,0,2,0,0,3,0,1,0,3,3,0,2,3,8,3,2,4
2004,314634,163381,2,7386,2,0,2,0,0,4,0,0,0,3,3,1,2,1,8,2,1,5
2004,314629,163370,2,2359,2,0,2,1,1,3,0,0,0,0,7,6,3,1,2,6,9,7
