tournament_id,match_id,game_id,map,pick,team1_id,team2_id,score1_ct,score1_t,score2_ct,score2_t,score1,score2,winner_id,loser_id,duration,game_url
2283,542268,233471,Lotus,,2593,624,10.0,3.0,9.0,0.0,13,9,2593,624,50:27,https://www.vlr.gg/542268/fnatic-vs-paper-rex-valorant-champions-2025-ubsf/?game=233471
2283,542268,233469,Bind,624,2593,624,7.0,3.0,8.0,5.0,10,13,624,2593,52:35,https://www.vlr.gg/542268/fnatic-vs-paper-rex-valorant-champions-2025-ubsf/?game=233469
2283,542268,233470,Haven,2593,2593,624,5.0,8.0,4.0,0.0,13,4,2593,624,37:32,https://www.vlr.gg/542268/fnatic-vs-paper-rex-valorant-champions-2025-ubsf/?game=233470
2283,542269,233473,Haven,1034,7386,1034,10.0,3.0,2.0,2.0,13,4,7386,1034,38:48,https://www.vlr.gg/542269/mibr-vs-nrg-valorant-champions-2025-ubsf/?game=233473
2283,542269,233474,Corrode,,7386,1034,5.0,7.0,5.0,7.0,14,16,1034,7386,1:11:54,https://www.vlr.gg/542269/mibr-vs-nrg-valorant-champions-2025-ubsf/?game=233474
2283,542277,233492,Ascent,1001,624,1001,4.0,9.0,3.0,8.0,13,11,624,1001,55:36,https://www.vlr.gg/542277/paper-rex-vs-team-heretics-valorant-champions-2025-lr2/?game=233492
2283,542277,233493,Bind,624,624,1001,7.0,2.0,8.0,5.0,9,13,1001,624,51:39,https://www.vlr.gg/542277/paper-rex-vs-team-heretics-valorant-champions-2025-lr2/?game=233493
2283,542277,233494,Lotus,,624,1001,5.0,8.0,4.0,0.0,13,4,624,1001,35:08,https://www.vlr.gg/542277/paper-rex-vs-team-heretics-valorant-champions-2025-lr2/?game=233494
2283,542276,233489,Sunset,7386,7386,8185,10.0,3.0,9.0,1.0,13,10,7386,8185,47:50,https://www.vlr.gg/542276/mibr-vs-drx-valorant-champions-2025-lr2/?game=233489
2283,542276,233490,Ascent,8185,7386,8185,5.0,7.0,5.0,7.0,13,15,8185,7386,1:06:08,https://www.vlr.gg/542276/mibr-vs-drx-valorant-champions-2025-lr2/?game=233490
2283,542276,233491,Bind,,7386,8185,4.0,6.0,6.0,7.0,10,13,8185,7386,58:37,https://www.vlr.gg/542276/mibr-vs-drx-valorant-champions-2025-lr2/?game=233491
2283,542270,233475,Ascent,2593,2593,1034,8.0,4.0,8.0,4.0,12,14,1034,2593,1:05:02,https://www.vlr.gg/542270/fnatic-vs-nrg-valorant-champions-2025-ubf/?game=233475
2283,542278,233495,Ascent,8185,8185,624,9.0,3.0,9.0,3.0,15,13,8185,624,1:04:34,https://www.vlr.gg/542278/drx-vs-paper-rex-valorant-champions-2025-lr3/?game=233495
2283,542278,233496,Lotus,624,8185,624,6.0,7.0,5.0,3.0,13,8,8185,624,46:28,https://www.vlr.gg/542278/drx-vs-paper-rex-valorant-champions-2025-lr3/?game=233496
2283,542270,233476,Abyss,1034,2593,1034,1.0,4.0,2.0,11.0,5,13,1034,2593,40:41,https://www.vlr.gg/542270/fnatic-vs-nrg-valorant-champions-2025-ubf/?game=233476
2283,542279,233498,Sunset,2593,2593,8185,4.0,4.0,8.0,5.0,8,13,8185,2593,48:59,https://www.vlr.gg/542279/fnatic-vs-drx-valorant-champions-2025-lbf/?game=233498
2283,542279,233500,Haven,2593,2593,8185,6.0,7.0,5.0,6.0,13,11,2593,8185,53:46,https://www.vlr.gg/542279/fnatic-vs-drx-valorant-champions-2025-lbf/?game=233500
2283,542279,233499,Corrode,8185,2593,8185,2.0,11.0,1.0,2.0,13,3,2593,8185,44:54,https://www.vlr.gg/542279/fnatic-vs-drx-valorant-champions-2025-lbf/?game=233499
2283,542279,233501,Bind,8185,2593,8185,3.0,10.0,2.0,2.0,13,4,2593,8185,40:07,https://www.vlr.gg/542279/fnatic-vs-drx-valorant-champions-2025-lbf/?game=233501
2590,538566,232748,Abyss,12064,12064,1120,,,,,13,9,12064,1120,-,https://www.vlr.gg/538566/nova-esports-vs-edward-gaming-china-evolution-series-act-3-ro12/?game=232748
2590,538566,232749,Ascent,1120,12064,1120,,,,,13,3,12064,1120,-,https://www.vlr.gg/538566/nova-esports-vs-edward-gaming-china-evolution-series-act-3-ro12/?game=232749
2590,538565,232745,Lotus,11981,14137,11981,4.0,8.0,4.0,8.0,12,14,11981,14137,-,https://www.vlr.gg/538565/titan-esports-club-vs-dragon-ranger-gaming-china-evolution-series-act-3-ro12/?game=232745
2590,538565,232747,Sunset,,14137,11981,7.0,6.0,6.0,1.0,13,7,14137,11981,-,https://www.vlr.gg/538565/titan-esports-club-vs-dragon-ranger-gaming-china-evolution-series-act-3-ro12/?game=232747
2590,538565,232746,Haven,14137,14137,11981,8.0,4.0,8.0,4.0,14,12,14137,11981,-,https://www.vlr.gg/538565/titan-esports-club-vs-dragon-ranger-gaming-china-evolution-series-act-3-ro12/?game=232746
