prize_pool,name,region,url,tournament_id
0,Champions Tour Europe Stage 1: Challengers 2,mod-eu,https://www.vlr.gg/event/795/champions-tour-europe-stage-1-challengers-2,795
72680,Champions Tour Brazil Stage 1: Challengers 1,mod-br,https://www.vlr.gg/event/829/champions-tour-brazil-stage-1-challengers-1,829
18126,Oceania Tour: Stage 1,mod-au,https://www.vlr.gg/event/830/oceania-tour-stage-1,830
3063,Road to VCT 2022,mod-vn,https://www.vlr.gg/event/812/road-to-vct-2022,812
0,Champions Tour CIS Stage 1: Challengers 2,mod-ru,https://www.vlr.gg/event/796/champions-tour-cis-stage-1-challengers-2,796
0,Champions Tour Turkey Stage 1: Challengers 2,mod-tr,https://www.vlr.gg/event/797/champions-tour-turkey-stage-1-challengers-2,797
0,Champions Tour Europe Stage 1: Challengers 1,mod-eu,https://www.vlr.gg/event/792/champions-tour-europe-stage-1-challengers-1,792
0,Champions Tour Turkey Stage 1: Challengers 1,mod-tr,https://www.vlr.gg/event/793/champions-tour-turkey-stage-1-challengers-1,793
0,Champions Tour CIS Stage 1: Challengers 1,mod-ru,https://www.vlr.gg/event/794/champions-tour-cis-stage-1-challengers-1,794
1000000,Valorant Champions 2021,mod-de,https://www.vlr.gg/event/449/valorant-champions-2021,449
0,Champions Tour North America: Last Chance Qualifier,mod-us,https://www.vlr.gg/event/558/champions-tour-north-america-last-chance-qualifier,558
48074,Champions Tour South America: Last Chance Qualifier,mod-br,https://www.vlr.gg/event/561/champions-tour-south-america-last-chance-qualifier,561
0,Champions Tour EMEA: Last Chance Qualifier,mod-eu,https://www.vlr.gg/event/559/champions-tour-emea-last-chance-qualifier,559
0,Champions Tour Asia-Pacific: Last Chance Qualifier,mod-un,https://www.vlr.gg/event/560/champions-tour-asia-pacific-last-chance-qualifier,560
50000,Strike Arabia Championship: Finals,mod-tr,https://www.vlr.gg/event/450/strike-arabia-championship-finals,450
700000,Valorant Champions Tour Stage 3: Masters Berlin,mod-de,https://www.vlr.gg/event/466/valorant-champions-tour-stage-3-masters-berlin,466
14735,Oceania Tour: Championship,mod-au,https://www.vlr.gg/event/649/oceania-tour-championship,649
3000,Strike Arabia League: Season 3,mod-un,https://www.vlr.gg/event/664/strike-arabia-league-season-3,664
100000,Champions Tour SEA Stage 3: Challengers Playoffs,mod-un,https://www.vlr.gg/event/570/champions-tour-sea-stage-3-challengers-playoffs,570
