tournament_id,match_id,team1_name,team2_name,score1,score2,winner_name,loser_name,sub_stage,stage,match_url
911,78181,Os Selvagens,SG e-Sports,0.0,2.0,SG e-Sports,Os Selvagens,Quarterfinals (Decisive),Open Qualifier #2,https://www.vlr.gg/78181/os-selvagens-vs-sg-e-sports-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-qf
911,78182,REiGN,Tropinha do TIKTOK 2.0,0.0,2.0,Tropinha do TIKTOK 2.0,REiGN,Quarterfinals (Decisive),Open Qualifier #2,https://www.vlr.gg/78182/reign-vs-tropinha-do-tiktok-2-0-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-qf
911,78183,OIP,RD E-SPORTS,2.0,1.0,OIP,RD E-SPORTS,Quarterfinals (Decisive),Open Qualifier #2,https://www.vlr.gg/78183/oip-vs-rd-e-sports-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-qf
911,78184,4 ruim e 1 ruim,doidera,1.0,2.0,doidera,4 ruim e 1 ruim,Quarterfinals (Decisive),Open Qualifier #2,https://www.vlr.gg/78184/4-ruim-e-1-ruim-vs-doidera-champions-tour-brazil-stage-2-challengers-1-open-qualifier-2-qf
911,78186,Tuzzy E-Sports,Tropinha do TIKTOK 2.0,0.0,2.0,Tropinha do TIKTOK 2.0,Tuzzy E-Sports,Single BO3,Closed Qualifier  #2,https://www.vlr.gg/78186/tryste-vs-tropinha-do-tiktok-2-0-champions-tour-brazil-stage-2-challengers-1-closed-qualifier-2
911,78187,Galaxy Carrots,doidera,2.0,0.0,Galaxy Carrots,doidera,Single BO3,Closed Qualifier  #2,https://www.vlr.gg/78187/galaxy-carrots-vs-doidera-champions-tour-brazil-stage-2-challengers-1-closed-qualifier-2-bo3
911,78188,Stars Horizon,SG e-Sports,0.0,2.0,SG e-Sports,Stars Horizon,Single BO3,Closed Qualifier  #2,https://www.vlr.gg/78188/stars-horizon-vs-sg-e-sports-champions-tour-brazil-stage-2-challengers-1-closed-qualifier-2-bo3
911,78189,Bomb Crypto,OIP,2.0,1.0,Bomb Crypto,OIP,Single BO3,Closed Qualifier  #2,https://www.vlr.gg/78189/bomb-crypto-vs-oip-champions-tour-brazil-stage-2-challengers-1-closed-qualifier-2-bo3
911,76388,Botafogo eSports,Bomb Crypto,0.0,2.0,Bomb Crypto,Botafogo eSports,Upper Quarterfinals,Final Qualifier,https://www.vlr.gg/76388/botafogo-esports-vs-bomb-crypto-champions-tour-brazil-stage-2-challengers-1-ubqf
911,76389,Renegados,Galaxy Carrots,1.0,2.0,Galaxy Carrots,Renegados,Upper Quarterfinals,Final Qualifier,https://www.vlr.gg/76389/renegados-vs-galaxy-carrots-champions-tour-brazil-stage-2-challengers-1-ubqf
911,76390,Los Grandes,SG e-Sports,2.0,0.0,Los Grandes,SG e-Sports,Upper Quarterfinals,Final Qualifier,https://www.vlr.gg/76390/los-grandes-vs-sg-e-sports-champions-tour-brazil-stage-2-challengers-1-ubqf
911,76391,MIBR,Tropinha do TIKTOK 2.0,0.0,2.0,Tropinha do TIKTOK 2.0,MIBR,Upper Quarterfinals,Final Qualifier,https://www.vlr.gg/76391/mibr-vs-tropinha-do-tiktok-2-0-champions-tour-brazil-stage-2-challengers-1-ubqf
911,76392,Bomb Crypto,Galaxy Carrots,1.0,2.0,Galaxy Carrots,Bomb Crypto,Upper Semifinals,Final Qualifier,https://www.vlr.gg/76392/bomb-crypto-vs-galaxy-carrots-champions-tour-brazil-stage-2-challengers-1-ubsf
911,76393,Los Grandes,Tropinha do TIKTOK 2.0,2.0,0.0,Los Grandes,Tropinha do TIKTOK 2.0,Upper Semifinals,Final Qualifier,https://www.vlr.gg/76393/los-grandes-vs-tropinha-do-tiktok-2-0-champions-tour-brazil-stage-2-challengers-1-ubsf
911,76394,Botafogo eSports,Renegados,1.0,0.0,Botafogo eSports,Renegados,Lower Round 1,Final Qualifier,https://www.vlr.gg/76394/botafogo-esports-vs-renegados-champions-tour-brazil-stage-2-challengers-1-lr1
911,76395,SG e-Sports,MIBR,0.0,2.0,MIBR,SG e-Sports,Lower Round 1,Final Qualifier,https://www.vlr.gg/76395/sg-e-sports-vs-mibr-champions-tour-brazil-stage-2-challengers-1-lr1
911,76396,Tropinha do TIKTOK 2.0,Botafogo eSports,2.0,0.0,Tropinha do TIKTOK 2.0,Botafogo eSports,Lower Round 2,Final Qualifier,https://www.vlr.gg/76396/tropinha-do-tiktok-2-0-vs-botafogo-esports-champions-tour-brazil-stage-2-challengers-1-lr2
911,76397,Bomb Crypto,MIBR,0.0,2.0,MIBR,Bomb Crypto,Lower Round 2,Final Qualifier,https://www.vlr.gg/76397/bomb-crypto-vs-mibr-champions-tour-brazil-stage-2-challengers-1-lr2
911,83800,Liberty,Tropinha do TIKTOK 2.0,2.0,1.0,Liberty,Tropinha do TIKTOK 2.0,Upper Quarterfinals,Access Series,https://www.vlr.gg/83800/liberty-vs-tropinha-do-tiktok-2-0-champions-tour-brazil-stage-2-challengers-1-access-series-ubq
911,83801,Sharks Esports,Galaxy Carrots,1.0,2.0,Galaxy Carrots,Sharks Esports,Upper Quarterfinals,Access Series,https://www.vlr.gg/83801/sharks-esports-vs-galaxy-carrots-champions-tour-brazil-stage-2-challengers-1-access-series-ubqf
911,83802,INGAMING Esports,MIBR,2.0,1.0,INGAMING Esports,MIBR,Upper Quarterfinals,Access Series,https://www.vlr.gg/83802/ingaming-esports-vs-mibr-champions-tour-brazil-stage-2-challengers-1-access-series-ubqf
911,83803,Team Vikings,Los Grandes,1.0,2.0,Los Grandes,Team Vikings,Upper Quarterfinals,Access Series,https://www.vlr.gg/83803/team-vikings-vs-los-grandes-champions-tour-brazil-stage-2-challengers-1-access-series-ubqf
911,83806,Tropinha do TIKTOK 2.0,Sharks Esports,0.0,2.0,Sharks Esports,Tropinha do TIKTOK 2.0,Lower Round 1,Access Series,https://www.vlr.gg/83806/tropinha-do-tiktok-2-0-vs-sharks-esports-champions-tour-brazil-stage-2-challengers-1-access-seri
911,83807,MIBR,Team Vikings,2.0,0.0,MIBR,Team Vikings,Lower Round 1,Access Series,https://www.vlr.gg/83807/mibr-vs-team-vikings-champions-tour-brazil-stage-2-challengers-1-access-series-lr1
911,83804,Liberty,Galaxy Carrots,2.0,0.0,Liberty,Galaxy Carrots,Upper Semifinals,Access Series,https://www.vlr.gg/83804/liberty-vs-galaxy-carrots-champions-tour-brazil-stage-2-challengers-1-access-series-ubsf
911,83805,INGAMING Esports,Los Grandes,2.0,1.0,INGAMING Esports,Los Grandes,Upper Semifinals,Access Series,https://www.vlr.gg/83805/ingaming-esports-vs-los-grandes-champions-tour-brazil-stage-2-challengers-1-access-series-ubsf
911,83808,Los Grandes,Sharks Esports,2.0,1.0,Los Grandes,Sharks Esports,Lower Round 2,Access Series,https://www.vlr.gg/83808/los-grandes-vs-sharks-esports-champions-tour-brazil-stage-2-challengers-1-access-series-lr2
